inc_response,stim,kross,presentation_order,zcue,correct_response,iSI,pros_stim,event_code,emoticon_H,cor_response,n,key_resp.corr_mean,key_resp.corr_raw,key_resp.corr_std,key_resp.keys_raw,key_resp.rt_mean,key_resp.rt_raw,key_resp.rt_std,order
91,3_fea_qs_trimF,cross.bmp,74,-1.19130614829,61,3.75097505669,3_fea_qs_trimF.wav,20,Emoticons_H.bmp,2,1.0,0.0,0.0,0.0,,,,,73.0
90,3_fea_ss_trimF,cross.bmp,75,-1.54910561741,60,3.30308390023,3_fea_ss_trimF.wav,19,Emoticons_H.bmp,2,1.0,0.0,0.0,0.0,,,,,74.0
77,3_hap_qw_trimF,cross.bmp,76,1.39655270811,47,3.07333333333,3_hap_qw_trimF.wav,7,Emoticons_H.bmp,1,1.0,0.0,0.0,0.0,,,,,75.0
81,2_ang_ss_trimF,cross.bmp,77,-1.03130489652,51,3.67217687075,2_ang_ss_trimF.wav,10,Emoticons_H.bmp,3,1.0,0.0,0.0,0.0,,,,,76.0
86,4_ang_sw_trimF,cross.bmp,78,0.655921894497,56,3.47814058957,4_ang_sw_trimF.wav,15,Emoticons_H.bmp,3,1.0,0.0,0.0,0.0,,,,,77.0

extraInfo
date,2012_Nov_21_1516
expName,None
session,001
participant,22
