inc_response,stim,kross,presentation_order,zcue,correct_response,iSI,pros_stim,event_code,emoticon_H,cor_response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.corr,key_resp.rt,date,expName,session,participant,
96,1_fea_sw_trimF,cross.bmp,1,0.972111570479,66,2.68802721088,1_fea_sw_trimF.wav,25,Emoticons_H.bmp,2,0,0,0,0,1,0,0.751319449077,2012_Nov_21_1516,None,001,22,
80,2_ang_qw_trimF,cross.bmp,2,-1.4805664681,50,3.54047619048,2_ang_qw_trimF.wav,9,Emoticons_H.bmp,3,0,1,1,1,None,0,,2012_Nov_21_1516,None,001,22,
97,4_fea_sw_trimF,cross.bmp,3,0.989480113305,67,3.09891156463,4_fea_sw_trimF.wav,26,Emoticons_H.bmp,2,0,2,2,2,None,0,,2012_Nov_21_1516,None,001,22,
84,4_ang_qw_trimF,cross.bmp,4,-0.4123222868,54,3.11138321995,4_ang_qw_trimF.wav,13,Emoticons_H.bmp,3,0,3,3,3,None,0,,2012_Nov_21_1516,None,001,22,
73,4_hap_qs_trimF,cross.bmp,5,-0.537060731298,43,3.75081632653,4_hap_qs_trimF.wav,3,Emoticons_H.bmp,1,0,4,4,4,3,0,0.717068295762,2012_Nov_21_1516,None,001,22,
71,4_hap_qw_trimF,cross.bmp,6,-1.14249072153,41,3.13696145125,4_hap_qw_trimF.wav,1,Emoticons_H.bmp,1,0,5,5,5,None,0,,2012_Nov_21_1516,None,001,22,
85,3_ang_qs_trimF,cross.bmp,7,0.156742370527,55,3.16766439909,3_ang_qs_trimF.wav,14,Emoticons_H.bmp,3,0,6,6,6,None,0,,2012_Nov_21_1516,None,001,22,
78,3_hap_qs_trimF,cross.bmp,8,1.42422309705,48,3.36818594104,3_hap_qs_trimF.wav,8,Emoticons_H.bmp,1,0,7,7,7,None,0,,2012_Nov_21_1516,None,001,22,
92,3_fea_sw_trimF,cross.bmp,9,-0.634123784623,62,3.31684807256,3_fea_sw_trimF.wav,21,Emoticons_H.bmp,2,0,8,8,8,None,0,,2012_Nov_21_1516,None,001,22,
72,1_hap_ss_trimF,cross.bmp,10,-1.12933930495,42,3.82702947846,1_hap_ss_trimF.wav,2,Emoticons_H.bmp,1,0,9,9,9,None,0,,2012_Nov_21_1516,None,001,22,
74,2_hap_qs_trimF_trimF,cross.bmp,11,-0.307202009129,44,3.28947845805,2_hap_qs_trimF.wav,4,Emoticons_H.bmp,1,0,10,10,10,None,0,,2012_Nov_21_1516,None,001,22,
83,2_ang_qs_trimF,cross.bmp,12,-0.621977686867,53,3.55623582766,2_ang_qs_trimF.wav,12,Emoticons_H.bmp,3,0,11,11,11,None,0,,2012_Nov_21_1516,None,001,22,
93,2_fea_ss_trimF,cross.bmp,13,0.166248411568,63,3.06099773243,2_fea_ss_trimF.wav,22,Emoticons_H.bmp,2,0,12,12,12,None,0,,2012_Nov_21_1516,None,001,22,
94,1_fea_ss_trimF,cross.bmp,14,0.46505470844,64,3.6325170068,1_fea_ss_trimF.wav,23,Emoticons_H.bmp,2,0,13,13,13,None,0,,2012_Nov_21_1516,None,001,22,
87,4_ang_qs_trimF,cross.bmp,15,0.805675751688,57,3.96158730159,4_ang_qs_trimF.wav,16,Emoticons_H.bmp,3,0,14,14,14,None,0,,2012_Nov_21_1516,None,001,22,
89,4_ang_ss_trimF,cross.bmp,16,1.40469118045,59,3.98519274376,4_ang_ss_trimF.wav,18,Emoticons_H.bmp,3,0,15,15,15,None,0,,2012_Nov_21_1516,None,001,22,
75,2_hap_sw_trimF,cross.bmp,17,0.063624465804,45,3.1866893424,2_hap_sw_trimF.wav,5,Emoticons_H.bmp,1,0,16,16,16,None,0,,2012_Nov_21_1516,None,001,22,
95,4_fea_qs_trimF,cross.bmp,18,0.781640746535,65,3.94272108844,4_fea_qs_trimF.wav,24,Emoticons_H.bmp,2,0,17,17,17,None,0,,2012_Nov_21_1516,None,001,22,
